step,timestamp,action,price,shares,symbol,reward,transaction_cost,slippage,time_penalty,momentum
298,2023-07-03 08:13:34.271417839,BUY,200.6461746580648,129.26999463942659,AAPL,-0.2313191424122103,0.056792142412190966,0.010000000000019327,0.164527,12.999999999999545
299,2023-07-03 08:13:36.245226028,BUY,185.08145293470284,110.83606730998802,AAPL,-0.2127912182043118,0.025398218204301576,0.020000000000010232,0.167393,12.000000000000455
303,2023-07-03 08:13:48.805647196,BUY,186.4506066999355,107.43846736909703,AAPL,-0.2898504307550225,0.09503143075502138,0.030000000000001137,0.164819,12.000000000000455
304,2023-07-03 08:13:54.998093551,BUY,184.8020289753608,180.04258864898455,AAPL,-0.29749800928927134,0.07183700928926906,0.060000000000002274,0.165661,9.000000000000341
305,2023-07-03 08:13:54.998093551,BUY,200.5028798930334,72.94058004857911,AAPL,-0.46927215100033126,0.24361115100032896,0.060000000000002274,0.165661,9.000000000000341
306,2023-07-03 08:13:54.998109423,BUY,192.69186916139031,199.11926045557033,AAPL,-0.2991320092892713,0.07183700928926906,0.060000000000002274,0.167295,7.00000000000216
307,2023-07-03 08:13:54.998109423,BUY,187.79628687917514,106.61473926570805,AAPL,-0.4068875232231749,0.17959252322317262,0.060000000000002274,0.167295,8.00000000000125
308,2023-07-03 08:13:54.998109423,BUY,199.28325536028015,178.1397490183964,AAPL,-0.35926801305471556,0.13197301305471332,0.060000000000002274,0.167295,8.00000000000125
323,2023-07-03 08:14:45.457003155,BUY,205.40808998775628,118.20794186994952,AAPL,-0.29845121803552765,0.08031621803554471,0.04999999999998295,0.168135,6.000000000000227
324,2023-07-03 08:14:45.457003155,BUY,191.20948075909544,230.45806280107132,AAPL,-0.29845121803552765,0.08031621803554471,0.04999999999998295,0.168135,6.000000000000227
325,2023-07-03 08:14:45.457003155,BUY,188.04569928868378,223.95956419504566,AAPL,-0.25353321820430386,0.025398218204301576,0.060000000000002274,0.168135,1.999999999998181
495,2023-07-03 08:26:44.023325234,SELL,194.15689636974142,68.22698746676156,AAPL,-0.18971421820430157,0.025398218204301576,0.0,0.164316,-3.0000000000001137
496,2023-07-03 08:27:04.023548544,SELL,196.40886405329306,228.9652899713514,AAPL,-0.23142736911273543,0.06719736911273545,0.0,0.16423,-3.999999999999204
497,2023-07-03 08:27:11.247975143,SELL,202.84458492907214,171.30232360296142,AAPL,-0.27254851393390356,0.10775551393390358,0.0,0.164793,-6.999999999999318
498,2023-07-03 08:27:28.668566815,SELL,188.53025361276462,125.17321862074964,AAPL,-0.3234277703093535,0.13911177030934327,0.020000000000010232,0.164316,-5.000000000001137
499,2023-07-03 08:27:33.718614471,SELL,198.24898022056544,113.45015648270889,AAPL,-0.18997121820430157,0.025398218204301576,0.0,0.164573,-1.999999999998181
568,2023-07-03 08:34:19.196631074,BUY,192.20895316549723,98.70809340214893,AAPL,-0.2923935139338854,0.10775551393390358,0.01999999999998181,0.164638,7.00000000000216
585,2023-07-03 08:36:11.306237264,BUY,200.00918428166554,140.51201135057602,AAPL,-0.2488823601272424,0.08423636012724241,0.0,0.164646,11.000000000001364
586,2023-07-03 08:36:14.092447776,BUY,195.1715528231698,125.93261869811568,AAPL,-0.2887963499528114,0.12442534995281139,0.0,0.164371,4.000000000002046
587,2023-07-03 08:36:17.308154337,BUY,187.5076863710386,238.87870752112292,AAPL,-0.34353872025450416,0.16847272025448481,0.010000000000019327,0.165066,3.0000000000001137
588,2023-07-03 08:36:17.349242209,BUY,195.10526241471817,239.2925385216158,AAPL,-0.35932806713718307,0.19342706713718308,0.0,0.165901,7.00000000000216
603,2023-07-03 08:37:17.178532062,BUY,199.71949478339755,193.99471454398602,AAPL,-0.2017372182043209,0.025398218204301576,0.010000000000019327,0.166339,6.000000000000227
604,2023-07-03 08:37:50.745905438,BUY,193.06341115061926,237.13514716100218,AAPL,-0.3407732545015065,0.16654725450151556,0.009999999999990905,0.164226,5.000000000001137
605,2023-07-03 08:38:16.388548412,BUY,199.99059364647954,165.70282449311134,AAPL,-0.20374221820429247,0.025398218204301576,0.009999999999990905,0.168344,5.000000000001137
606,2023-07-03 08:38:16.388548412,BUY,188.66097788588706,238.39753063206174,AAPL,-0.20374221820429247,0.025398218204301576,0.009999999999990905,0.168344,5.000000000001137
607,2023-07-03 08:38:16.388548412,BUY,184.19272480468743,182.87534612475875,AAPL,-0.2323350043515529,0.04399100435157111,0.01999999999998181,0.168344,4.000000000002046
608,2023-07-03 08:38:16.388548412,BUY,190.3642595133847,70.97685375319486,AAPL,-0.27866021803554586,0.08031621803554471,0.030000000000001137,0.168344,3.0000000000001137
652,2023-07-03 08:44:52.268753552,SELL,202.22649303638906,97.99212350552024,AAPL,-0.22487614241219098,0.056792142412190966,0.0,0.168084,-4.999999999998295
653,2023-07-03 08:44:52.268753552,SELL,201.49394193204543,173.71136212336782,AAPL,-0.24840021803554474,0.08031621803554471,0.0,0.168084,-3.0000000000001137
654,2023-07-03 08:44:52.268753552,SELL,198.6843597647368,174.81888406994992,AAPL,-0.28166828482438194,0.11358428482438193,0.0,0.168084,-1.999999999998181
655,2023-07-03 08:44:52.268753552,SELL,186.798590799744,141.26965116112603,AAPL,-0.22487614241219098,0.056792142412190966,0.0,0.168084,-1.999999999998181
656,2023-07-03 08:44:52.268753552,SELL,189.34280681182827,157.96378301405701,AAPL,-0.3161797885640667,0.1480957885640667,0.0,0.168084,-3.0000000000001137
657,2023-07-03 08:44:52.268773137,SELL,200.32374546256736,217.26604625004848,AAPL,-0.3713761001010702,0.2063361001010702,0.0,0.16504,-1.999999999998181
