step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
22,2023-07-03 08:01:02.738714506,1,194.12,124.0,-0.23638472175785552,0.21995502175785553,0.0,0.0164297
42,2023-07-03 08:01:14.185830444,1,194.28,127.0,-0.10803251803553562,0.08031621803554471,0.009999999999990905,0.0177163
71,2023-07-03 08:03:30.071432879,2,194.15,236.0,-0.1176977364085861,0.05079643640860315,0.04999999999998295,0.0169013
77,2023-07-03 08:03:59.756134128,2,194.2,15.0,-0.16699161803553791,0.08031621803554471,0.06999999999999318,0.0166754
110,2023-07-03 08:05:13.717864037,1,194.1,62.0,-0.3092098130547099,0.13197301305471332,0.1599999999999966,0.0172368
119,2023-07-03 08:05:44.839501156,1,194.11,67.0,-0.3255944218487264,0.1586118218487491,0.14999999999997726,0.0169826
145,2023-07-03 08:06:32.594692998,1,194.07,106.0,-0.041879318204301574,0.025398218204301576,0.0,0.0164811
173,2023-07-03 08:07:23.387326158,2,194.16,225.0,-0.051872718204292484,0.025398218204301576,0.009999999999990905,0.0164745
175,2023-07-03 08:07:29.602061828,2,194.16,10.0,-0.1862433703093444,0.13911177030934327,0.030000000000001137,0.0171316
243,2023-07-03 08:10:23.350394016,1,193.96,146.0,-0.08237731820429361,0.025398218204301576,0.03999999999999204,0.0169791
262,2023-07-03 08:11:08.479769664,2,193.96,146.0,-0.1510381382254709,0.1343947382254709,0.0,0.0166434
298,2023-07-03 08:13:34.271417839,1,194.1,66.0,-0.0832448424122103,0.056792142412190966,0.010000000000019327,0.0164527
356,2023-07-03 08:16:27.882453290,2,194.0,66.0,-0.29122768204302596,0.25398218204301576,0.020000000000010232,0.0172455
378,2023-07-03 08:17:13.876550409,1,194.01,177.0,-0.20611212322319195,0.17959252322317262,0.010000000000019327,0.0165196
384,2023-07-03 08:17:24.981863912,2,193.9,177.0,-0.07095880435156202,0.04399100435157111,0.009999999999990905,0.0169678
418,2023-07-03 08:20:36.512049191,1,193.83,196.0,-0.3204239820429987,0.25398218204301576,0.04999999999998295,0.0164418
434,2023-07-03 08:22:05.585438246,1,193.81,100.0,-0.08252741820429361,0.025398218204301576,0.03999999999999204,0.0171292
441,2023-07-03 08:22:25.644010327,2,193.8,102.0,-0.0721638182043027,0.025398218204301576,0.030000000000001137,0.0167656
484,2023-07-03 08:26:11.272116337,1,193.75,140.0,-0.14002788482437284,0.11358428482438193,0.009999999999990905,0.0164436
486,2023-07-03 08:26:15.054973891,2,193.75,190.0,-0.11441460870313314,0.08798200870314223,0.009999999999990905,0.0164326
490,2023-07-03 08:26:21.060169624,1,193.76,186.0,-0.12706711803554585,0.08031621803554471,0.030000000000001137,0.0167509
492,2023-07-03 08:26:23.813145405,2,193.76,58.0,-0.26806557997891334,0.23138877997890311,0.020000000000010232,0.0166768
528,2023-07-03 08:30:32.158881684,2,193.76,92.0,-0.05242450464463453,0.03591850464463453,0.0,0.016506
534,2023-07-03 08:31:39.554299736,1,193.78,88.0,-0.10683771803553563,0.08031621803554471,0.009999999999990905,0.0165215
605,2023-07-03 08:38:16.388548412,1,193.81,212.0,-0.05223261820429248,0.025398218204301576,0.009999999999990905,0.0168344
643,2023-07-03 08:42:21.574282065,2,193.74,168.0,-0.7549280928926723,0.7183700928926905,0.01999999999998181,0.016558
658,2023-07-03 08:44:55.463827379,1,193.82,232.0,-0.27042758204301576,0.25398218204301576,0.0,0.0164454
