step,timestamp,action,price,shares,symbol,reward,transaction_cost,slippage,time_penalty,momentum
209,2023-07-03 08:08:35.299423264,BUY,197.9369514839868,123.79265400577984,AAPL,-0.308023218035547,0.08031621803554471,0.060000000000002274,0.167707,0.9999999999990905
210,2023-07-03 08:08:35.299423264,BUY,189.19363589838997,160.28285098456257,AAPL,-0.2944991424121841,0.056792142412190966,0.06999999999999318,0.167707,2.000000000001023
265,2023-07-03 08:11:30.432397079,SELL,201.97608588445934,202.59452403021675,AAPL,-0.41666353251244165,0.25142953251244166,0.0,0.165234,-6.999999999999318
266,2023-07-03 08:11:31.974718545,SELL,185.73311862980202,77.11989067869499,AAPL,-0.5445627230200856,0.3801257230200855,0.0,0.164437,-6.000000000000227
267,2023-07-03 08:11:31.974725138,SELL,189.65889749913887,4.361090281430705,AAPL,-0.4328854764509418,0.2687894764509418,0.0,0.164096,-5.000000000001137
296,2023-07-03 08:13:29.552902527,BUY,192.8391858561092,244.20160357443785,AAPL,-0.38855098961120615,0.22431098961120619,0.0,0.16424,13.000000000002387
297,2023-07-03 08:13:30.034845490,BUY,199.66633206186924,219.2422073895582,AAPL,-0.2087930043515711,0.04399100435157111,0.0,0.164802,13.000000000002387
298,2023-07-03 08:13:34.271417839,BUY,199.60976965784187,61.12017435681926,AAPL,-0.2313191424122103,0.056792142412190966,0.010000000000019327,0.164527,12.999999999999545
299,2023-07-03 08:13:36.245226028,BUY,193.01095021909495,124.89684953720948,AAPL,-0.2127912182043118,0.025398218204301576,0.020000000000010232,0.167393,12.000000000000455
300,2023-07-03 08:13:36.245226028,BUY,184.41805253628507,152.3526472474545,AAPL,-0.36698552322318284,0.17959252322317262,0.020000000000010232,0.167393,11.000000000001364
301,2023-07-03 08:13:36.245226028,BUY,190.40474313828125,225.32132952841368,AAPL,-0.22331150464464475,0.03591850464463453,0.020000000000010232,0.167393,12.000000000000455
302,2023-07-03 08:13:36.245226028,BUY,184.50208820500012,255.32476410263877,AAPL,-0.24960567497641592,0.062212674976405695,0.020000000000010232,0.167393,12.000000000000455
303,2023-07-03 08:13:48.805647196,BUY,190.4266274848834,168.15624234385956,AAPL,-0.2898504307550225,0.09503143075502138,0.030000000000001137,0.164819,12.000000000000455
304,2023-07-03 08:13:54.998093551,BUY,187.09289583655075,177.99762346822212,AAPL,-0.29749800928927134,0.07183700928926906,0.060000000000002274,0.165661,9.000000000000341
305,2023-07-03 08:13:54.998093551,BUY,192.70099960078414,79.16422856853893,AAPL,-0.46927215100033126,0.24361115100032896,0.060000000000002274,0.165661,9.000000000000341
306,2023-07-03 08:13:54.998109423,BUY,189.65800204921769,62.08628251610608,AAPL,-0.2991320092892713,0.07183700928926906,0.060000000000002274,0.167295,7.00000000000216
307,2023-07-03 08:13:54.998109423,BUY,194.97022450609978,214.53224974517659,AAPL,-0.4068875232231749,0.17959252322317262,0.060000000000002274,0.167295,8.00000000000125
308,2023-07-03 08:13:54.998109423,BUY,189.66682134422695,175.8635986204505,AAPL,-0.35926801305471556,0.13197301305471332,0.060000000000002274,0.167295,8.00000000000125
322,2023-07-03 08:14:40.246229834,BUY,185.2290743335899,128.60033091188401,AAPL,-0.19021321820430157,0.025398218204301576,0.0,0.164815,10.999999999998522
323,2023-07-03 08:14:45.457003155,BUY,211.4868243612994,74.64024060229109,AAPL,-0.29845121803552765,0.08031621803554471,0.04999999999998295,0.168135,6.000000000000227
324,2023-07-03 08:14:45.457003155,BUY,186.86762710205142,168.36947322795592,AAPL,-0.29845121803552765,0.08031621803554471,0.04999999999998295,0.168135,6.000000000000227
325,2023-07-03 08:14:45.457003155,BUY,193.80286814542836,200.40427611880688,AAPL,-0.25353321820430386,0.025398218204301576,0.060000000000002274,0.168135,1.999999999998181
421,2023-07-03 08:21:09.013747812,SELL,196.26532367859326,58.16406981995195,AAPL,-0.533371316019541,0.3379013160195398,0.030000000000001137,0.16547,-15.000000000000568
460,2023-07-03 08:22:35.755220543,SELL,185.99815381075263,132.40516729946853,AAPL,-0.41646755991223866,0.24228355991224776,0.009999999999990905,0.164184,-0.9999999999990905
495,2023-07-03 08:26:44.023325234,SELL,194.0116426759496,150.17352305289128,AAPL,-0.18971421820430157,0.025398218204301576,0.0,0.164316,-3.0000000000001137
496,2023-07-03 08:27:04.023548544,SELL,190.10123194207003,174.4086238960161,AAPL,-0.23142736911273543,0.06719736911273545,0.0,0.16423,-3.999999999999204
497,2023-07-03 08:27:11.247975143,SELL,192.88651251849808,73.60468390866959,AAPL,-0.27254851393390356,0.10775551393390358,0.0,0.164793,-6.999999999999318
498,2023-07-03 08:27:28.668566815,SELL,194.60827027040526,144.68655443372367,AAPL,-0.3234277703093535,0.13911177030934327,0.020000000000010232,0.164316,-5.000000000001137
499,2023-07-03 08:27:33.718614471,SELL,194.48126794016534,119.45209731670268,AAPL,-0.18997121820430157,0.025398218204301576,0.0,0.164573,-1.999999999998181
500,2023-07-03 08:27:49.011014958,SELL,199.80310271348787,150.71619727947086,AAPL,-0.3989597391673022,0.21249673916729198,0.020000000000010232,0.166463,-2.000000000001023
502,2023-07-03 08:27:57.158847305,SELL,193.98015949393937,88.82166504791981,AAPL,-0.2253834364086225,0.05079643640860315,0.010000000000019327,0.164587,-1.0000000000019327
533,2023-07-03 08:31:34.440580231,SELL,198.63042591922985,98.3059657023649,AAPL,-0.3668735232231545,0.17959252322317262,0.01999999999998181,0.167281,-3.0000000000001137
